indicator,year,value,indicator_code
자연증가건수(명),1970,748056.0,natural_increase_count
자연증가건수(명),1971,787245.0,natural_increase_count
자연증가건수(명),1972,742709.0,natural_increase_count
자연증가건수(명),1973,698061.0,natural_increase_count
자연증가건수(명),1974,674016.0,natural_increase_count
자연증가건수(명),1975,603373.0,natural_increase_count
자연증가건수(명),1976,529474.0,natural_increase_count
자연증가건수(명),1977,576085.0,natural_increase_count
자연증가건수(명),1978,498430.0,natural_increase_count
자연증가건수(명),1979,622683.0,natural_increase_count
자연증가건수(명),1980,585551.0,natural_increase_count
자연증가건수(명),1981,629928.0,natural_increase_count
자연증가건수(명),1982,602545.0,natural_increase_count
자연증가건수(명),1983,514592.0,natural_increase_count
자연증가건수(명),1984,438348.0,natural_increase_count
자연증가건수(명),1985,415071.0,natural_increase_count
자연증가건수(명),1986,396763.0,natural_increase_count
자연증가건수(명),1987,380327.0,natural_increase_count
자연증가건수(명),1988,397313.0,natural_increase_count
자연증가건수(명),1989,402613.0,natural_increase_count
자연증가건수(명),1990,408122.0,natural_increase_count
자연증가건수(명),1991,467005.0,natural_increase_count
자연증가건수(명),1992,494516.0,natural_increase_count
자연증가건수(명),1993,481569.0,natural_increase_count
자연증가건수(명),1994,478746.0,natural_increase_count
자연증가건수(명),1995,472182.0,natural_increase_count
자연증가건수(명),1996,450077.0,natural_increase_count
자연증가건수(명),1997,430701.0,natural_increase_count
자연증가건수(명),1998,395769.0,natural_increase_count
자연증가건수(명),1999,372934.0,natural_increase_count
자연증가건수(명),2000,391349.0,natural_increase_count
자연증가건수(명),2001,316121.0,natural_increase_count
자연증가건수(명),2002,249387.0,natural_increase_count
자연증가건수(명),2003,248573.0,natural_increase_count
자연증가건수(명),2004,230738.0,natural_increase_count
자연증가건수(명),2005,192833.0,natural_increase_count
자연증가건수(명),2006,207597.0,natural_increase_count
자연증가건수(명),2007,250340.0,natural_increase_count
자연증가건수(명),2008,219779.0,natural_increase_count
자연증가건수(명),2009,197907.0,natural_increase_count
자연증가건수(명),2010,214766.0,natural_increase_count
자연증가건수(명),2011,213869.0,natural_increase_count
자연증가건수(명),2012,217329.0,natural_increase_count
자연증가건수(명),2013,170198.0,natural_increase_count
자연증가건수(명),2014,167743.0,natural_increase_count
자연증가건수(명),2015,162525.0,natural_increase_count
자연증가건수(명),2016,125416.0,natural_increase_count
자연증가건수(명),2017,72237.0,natural_increase_count
자연증가건수(명),2018,28002.0,natural_increase_count
자연증가건수(명),2019,7566.0,natural_increase_count
자연증가건수(명),2020,-32611.0,natural_increase_count
자연증가건수(명),2021,-57118.0,natural_increase_count
자연증가건수(명),2022,-123753.0,natural_increase_count
자연증가건수(명),2023,-122483.0,natural_increase_count
자연증가건수(명),2024,-120252.0,natural_increase_count
자연증가건수(명),2025,-108931.0,natural_increase_count
자연증가율(천명당),1970,23.2,natural_increase_rate_per_1000
자연증가율(천명당),1971,23.9,natural_increase_rate_per_1000
자연증가율(천명당),1972,22.2,natural_increase_rate_per_1000
자연증가율(천명당),1973,20.5,natural_increase_rate_per_1000
자연증가율(천명당),1974,19.4,natural_increase_rate_per_1000
자연증가율(천명당),1975,17.1,natural_increase_rate_per_1000
자연증가율(천명당),1976,14.8,natural_increase_rate_per_1000
자연증가율(천명당),1977,15.8,natural_increase_rate_per_1000
자연증가율(천명당),1978,13.5,natural_increase_rate_per_1000
자연증가율(천명당),1979,16.6,natural_increase_rate_per_1000
자연증가율(천명당),1980,15.4,natural_increase_rate_per_1000
자연증가율(천명당),1981,16.3,natural_increase_rate_per_1000
자연증가율(천명당),1982,15.3,natural_increase_rate_per_1000
자연증가율(천명당),1983,12.9,natural_increase_rate_per_1000
자연증가율(천명당),1984,10.8,natural_increase_rate_per_1000
자연증가율(천명당),1985,10.2,natural_increase_rate_per_1000
자연증가율(천명당),1986,9.6,natural_increase_rate_per_1000
자연증가율(천명당),1987,9.1,natural_increase_rate_per_1000
자연증가율(천명당),1988,9.5,natural_increase_rate_per_1000
자연증가율(천명당),1989,9.5,natural_increase_rate_per_1000
자연증가율(천명당),1990,9.5,natural_increase_rate_per_1000
자연증가율(천명당),1991,10.8,natural_increase_rate_per_1000
자연증가율(천명당),1992,11.3,natural_increase_rate_per_1000
자연증가율(천명당),1993,10.8,natural_increase_rate_per_1000
자연증가율(천명당),1994,10.6,natural_increase_rate_per_1000
자연증가율(천명당),1995,10.3,natural_increase_rate_per_1000
자연증가율(천명당),1996,9.8,natural_increase_rate_per_1000
자연증가율(천명당),1997,9.3,natural_increase_rate_per_1000
자연증가율(천명당),1998,8.4,natural_increase_rate_per_1000
자연증가율(천명당),1999,7.9,natural_increase_rate_per_1000
자연증가율(천명당),2000,8.2,natural_increase_rate_per_1000
자연증가율(천명당),2001,6.6,natural_increase_rate_per_1000
자연증가율(천명당),2002,5.2,natural_increase_rate_per_1000
자연증가율(천명당),2003,5.1,natural_increase_rate_per_1000
자연증가율(천명당),2004,4.8,natural_increase_rate_per_1000
자연증가율(천명당),2005,4.0,natural_increase_rate_per_1000
자연증가율(천명당),2006,4.2,natural_increase_rate_per_1000
자연증가율(천명당),2007,5.1,natural_increase_rate_per_1000
자연증가율(천명당),2008,4.4,natural_increase_rate_per_1000
자연증가율(천명당),2009,4.0,natural_increase_rate_per_1000
자연증가율(천명당),2010,4.3,natural_increase_rate_per_1000
자연증가율(천명당),2011,4.3,natural_increase_rate_per_1000
자연증가율(천명당),2012,4.3,natural_increase_rate_per_1000
자연증가율(천명당),2013,3.4,natural_increase_rate_per_1000
자연증가율(천명당),2014,3.3,natural_increase_rate_per_1000
자연증가율(천명당),2015,3.2,natural_increase_rate_per_1000
자연증가율(천명당),2016,2.5,natural_increase_rate_per_1000
자연증가율(천명당),2017,1.4,natural_increase_rate_per_1000
자연증가율(천명당),2018,0.5,natural_increase_rate_per_1000
자연증가율(천명당),2019,0.1,natural_increase_rate_per_1000
자연증가율(천명당),2020,-0.6,natural_increase_rate_per_1000
자연증가율(천명당),2021,-1.1,natural_increase_rate_per_1000
